mode,decision_type,frontier,U
ratio,budget_allocation,conviction_voting;cumulative_voting,0.30000000000000004
ratio,binary_policy_ratification,consent_based,0.2
ratio,multi_candidate_election,condorcet_schulze,0.30000000000000004
ratio,membership_threshold_admission,consent_based,0.30000000000000004
ratio,parameter_tuning,quadratic_voting;conviction_voting,0.2
strict,budget_allocation,conviction_voting;cumulative_voting,0.30000000000000004
strict,binary_policy_ratification,consent_based,0.2
strict,multi_candidate_election,condorcet_schulze,0.30000000000000004
strict,membership_threshold_admission,consent_based,0.30000000000000004
strict,parameter_tuning,quadratic_voting;conviction_voting,0.2
sqrt_ratio,budget_allocation,quadratic_voting,0.2525126265847084
sqrt_ratio,binary_policy_ratification,consent_based,0.2
sqrt_ratio,multi_candidate_election,condorcet_schulze,0.30000000000000004
sqrt_ratio,membership_threshold_admission,consent_based,0.30000000000000004
sqrt_ratio,parameter_tuning,quadratic_voting;conviction_voting,0.2
presence_only,budget_allocation,quadratic_voting,0.15000000000000002
presence_only,binary_policy_ratification,consent_based,0.2
presence_only,multi_candidate_election,condorcet_schulze,0.30000000000000004
presence_only,membership_threshold_admission,consent_based,0.30000000000000004
presence_only,parameter_tuning,quadratic_voting;conviction_voting,0.2
