entry,method,dimension,base_capacity,most_disruptive_delta,frontier_set_flip_pct,valid_deltas
stv.D,stv,D,0.0,1,16.723276723276722,+1:16.723
quadratic_voting.D,quadratic_voting,D,0.0,1,16.603396603396604,+1:16.603
irv.D,irv,D,0.0,1,15.904095904095906,+1:15.904
stv.M,stv,M,0.0,1,15.884115884115884,+1:15.884
stv.A,stv,A,0.0,1,15.344655344655344,+1:15.345
cumulative_voting.D,cumulative_voting,D,0.0,1,14.965034965034965,+1:14.965
stv.T,stv,T,0.0,1,14.085914085914087,+1:14.086
stv.J,stv,J,0.0,1,14.045954045954046,+1:14.046
quadratic_voting.M,quadratic_voting,M,0.0,1,14.045954045954046,+1:14.046
stv.I,stv,I,0.0,1,13.966033966033967,+1:13.966
quadratic_voting.A,quadratic_voting,A,0.0,1,13.906093906093906,+1:13.906
conviction_voting.D,conviction_voting,D,0.0,1,13.886113886113884,+1:13.886
irv.M,irv,M,0.0,1,13.686313686313687,+1:13.686
score_voting.D,score_voting,D,0.0,1,13.626373626373626,+1:13.626
irv.A,irv,A,0.0,1,13.166833166833166,+1:13.167
quadratic_voting.J,quadratic_voting,J,0.0,1,12.987012987012985,+1:12.987
conviction_voting.M,conviction_voting,M,0.0,1,12.927072927072928,+1:12.927
conviction_voting.A,conviction_voting,A,0.0,1,12.867132867132867,+1:12.867
conviction_voting.O,conviction_voting,O,0.0,1,12.727272727272727,+1:12.727
quadratic_voting.T,quadratic_voting,T,0.0,1,12.427572427572429,+1:12.428
cumulative_voting.A,cumulative_voting,A,0.0,1,12.387612387612387,+1:12.388
conviction_voting.J,conviction_voting,J,0.0,1,12.267732267732267,+1:12.268
irv.J,irv,J,0.0,1,12.147852147852149,+1:12.148
cumulative_voting.M,cumulative_voting,M,0.0,1,11.728271728271729,+1:11.728
approval_voting.D,approval_voting,D,0.0,1,11.448551448551449,+1:11.449
irv.T,irv,T,0.0,1,11.428571428571429,+1:11.429
cumulative_voting.T,cumulative_voting,T,0.0,1,11.38861138861139,+1:11.389
cumulative_voting.J,cumulative_voting,J,0.0,1,11.368631368631368,+1:11.369
conviction_voting.F,conviction_voting,F,0.0,1,11.168831168831169,+1:11.169
quadratic_voting.F,quadratic_voting,F,0.0,1,11.10889110889111,+1:11.109
consent_based.D,consent_based,D,0.0,1,10.969030969030968,+1:10.969
score_voting.A,score_voting,A,0.0,1,10.68931068931069,+1:10.689
score_voting.M,score_voting,M,0.0,1,10.68931068931069,+1:10.689
irv.I,irv,I,0.0,1,10.48951048951049,+1:10.490
condorcet_schulze.D,condorcet_schulze,D,0.0,1,10.48951048951049,+1:10.490
cumulative_voting.O,cumulative_voting,O,0.0,1,10.009990009990009,+1:10.010
score_voting.J,score_voting,J,0.0,1,9.97002997002997,+1:9.970
cumulative_voting.F,cumulative_voting,F,0.0,1,9.710289710289711,+1:9.710
simple_majority.D,simple_majority,D,0.0,1,9.37062937062937,+1:9.371
borda.D,borda,D,0.0,1,9.37062937062937,+1:9.371
supermajority_2_3.D,supermajority_2_3,D,0.0,1,9.37062937062937,+1:9.371
consent_based.M,consent_based,M,0.0,1,9.270729270729271,+1:9.271
score_voting.T,score_voting,T,0.0,1,8.67132867132867,+1:8.671
condorcet_schulze.A,condorcet_schulze,A,0.0,1,8.61138861138861,+1:8.611
approval_voting.J,approval_voting,J,0.0,1,8.431568431568431,+1:8.432
consent_based.T,consent_based,T,0.0,1,8.391608391608392,+1:8.392
approval_voting.M,approval_voting,M,0.0,1,8.331668331668332,+1:8.332
score_voting.F,score_voting,F,0.0,1,8.251748251748252,+1:8.252
irv.P,irv,P,0.0,1,8.071928071928072,+1:8.072
condorcet_schulze.J,condorcet_schulze,J,0.0,1,8.051948051948052,+1:8.052
quadratic_voting.O,quadratic_voting,O,1.0,-1,7.932067932067932,-1:7.932;+1:5.035
consent_based.F,consent_based,F,0.0,1,7.892107892107893,+1:7.892
consent_based.I,consent_based,I,0.0,1,7.732267732267732,+1:7.732
stv.F,stv,F,2.0,-1,7.332667332667333,-1:7.333
condorcet_schulze.F,condorcet_schulze,F,0.0,1,7.1928071928071935,+1:7.193
borda.M,borda,M,0.0,1,7.1928071928071935,+1:7.193
condorcet_schulze.I,condorcet_schulze,I,0.0,1,7.032967032967033,+1:7.033
condorcet_schulze.T,condorcet_schulze,T,0.0,1,6.953046953046953,+1:6.953
approval_voting.T,approval_voting,T,0.0,1,6.953046953046953,+1:6.953
stv.O,stv,O,2.0,-1,6.833166833166833,-1:6.833
approval_voting.F,approval_voting,F,0.0,1,6.793206793206793,+1:6.793
consent_based.O,consent_based,O,0.0,1,6.7732267732267735,+1:6.773
score_voting.P,score_voting,P,0.0,1,6.233766233766234,+1:6.234
quadratic_voting.P,quadratic_voting,P,1.0,-1,6.233766233766234,-1:6.234;+1:4.595
consent_based.P,consent_based,P,0.0,1,6.193806193806194,+1:6.194
conviction_voting.I,conviction_voting,I,2.0,-1,6.1338661338661336,-1:6.134
approval_voting.I,approval_voting,I,0.0,1,6.1338661338661336,+1:6.134
borda.A,borda,A,0.0,1,6.113886113886114,+1:6.114
borda.J,borda,J,0.0,1,6.053946053946055,+1:6.054
supermajority_2_3.M,supermajority_2_3,M,0.0,1,6.033966033966034,+1:6.034
simple_majority.M,simple_majority,M,0.0,1,6.033966033966034,+1:6.034
simple_majority.J,simple_majority,J,0.0,1,5.554445554445555,+1:5.554
supermajority_2_3.J,supermajority_2_3,J,0.0,1,5.554445554445555,+1:5.554
approval_voting.O,approval_voting,O,0.0,1,5.454545454545454,+1:5.455
conviction_voting.P,conviction_voting,P,2.0,-1,5.354645354645355,-1:5.355
consent_based.A,consent_based,A,2.0,-1,5.234765234765234,-1:5.235
condorcet_schulze.P,condorcet_schulze,P,0.0,1,5.2147852147852145,+1:5.215
borda.T,borda,T,0.0,1,5.154845154845155,+1:5.155
approval_voting.P,approval_voting,P,0.0,1,5.054945054945055,+1:5.055
quadratic_voting.I,quadratic_voting,I,2.0,-1,5.014985014985015,-1:5.015
simple_majority.F,simple_majority,F,0.0,1,4.875124875124875,+1:4.875
supermajority_2_3.F,supermajority_2_3,F,0.0,1,4.875124875124875,+1:4.875
supermajority_2_3.T,supermajority_2_3,T,0.0,1,4.775224775224776,+1:4.775
simple_majority.T,simple_majority,T,0.0,1,4.775224775224776,+1:4.775
irv.F,irv,F,2.0,-1,4.395604395604396,-1:4.396
borda.F,borda,F,0.0,1,4.235764235764236,+1:4.236
simple_majority.I,simple_majority,I,0.0,1,4.235764235764236,+1:4.236
supermajority_2_3.I,supermajority_2_3,I,0.0,1,4.235764235764236,+1:4.236
stv.P,stv,P,2.0,-1,4.1558441558441555,-1:4.156
borda.I,borda,I,0.0,1,4.135864135864136,+1:4.136
score_voting.O,score_voting,O,1.0,-1,4.015984015984015,-1:4.016;+1:3.716
irv.O,irv,O,2.0,-1,3.556443556443557,-1:3.556
supermajority_2_3.O,supermajority_2_3,O,0.0,1,3.536463536463536,+1:3.536
simple_majority.O,simple_majority,O,0.0,1,3.536463536463536,+1:3.536
supermajority_2_3.P,supermajority_2_3,P,0.0,1,3.2567432567432566,+1:3.257
simple_majority.P,simple_majority,P,0.0,1,3.2567432567432566,+1:3.257
cumulative_voting.I,cumulative_voting,I,2.0,-1,3.2167832167832167,-1:3.217
cumulative_voting.P,cumulative_voting,P,2.0,-1,3.116883116883117,-1:3.117
simple_majority.A,simple_majority,A,1.0,-1,3.076923076923077,-1:3.077;+1:2.797
supermajority_2_3.A,supermajority_2_3,A,1.0,-1,3.076923076923077,-1:3.077;+1:2.797
condorcet_schulze.M,condorcet_schulze,M,2.0,-1,2.957042957042957,-1:2.957
score_voting.I,score_voting,I,2.0,-1,2.9170829170829173,-1:2.917
approval_voting.A,approval_voting,A,2.0,-1,2.797202797202797,-1:2.797
