profile,norm,frontier,U
worked_example,L1,quadratic_voting,0.333
worked_example,L2,quadratic_voting,0.26341791890454225
worked_example,max,score_voting;quadratic_voting;conviction_voting;cumulative_voting,0.25
budget_allocation,L1,conviction_voting;cumulative_voting,0.30000000000000004
budget_allocation,L2,conviction_voting;cumulative_voting,0.21213203435596428
budget_allocation,max,conviction_voting;cumulative_voting,0.15000000000000002
binary_policy_ratification,L1,consent_based,0.2
binary_policy_ratification,L2,consent_based,0.2
binary_policy_ratification,max,consent_based,0.2
multi_candidate_election,L1,condorcet_schulze,0.30000000000000004
multi_candidate_election,L2,condorcet_schulze,0.22360679774997902
multi_candidate_election,max,condorcet_schulze,0.20000000000000004
membership_threshold_admission,L1,consent_based,0.30000000000000004
membership_threshold_admission,L2,consent_based,0.223606797749979
membership_threshold_admission,max,consent_based,0.2
parameter_tuning,L1,quadratic_voting;conviction_voting,0.2
parameter_tuning,L2,quadratic_voting;conviction_voting,0.2
parameter_tuning,max,score_voting;quadratic_voting;conviction_voting;cumulative_voting,0.2
