method,on_frontier_random_profiles_pct,on_frontier_exhaustive_profiles_pct
conviction_voting,30.24,61.955085865257594
stv,28.635,61.650238796870234
consent_based,22.32,26.348948277614063
condorcet_schulze,16.125,21.715272838126207
quadratic_voting,13.12,22.980388171933747
irv,11.515,17.569352708058123
cumulative_voting,7.815,7.600853571791484
score_voting,6.845,9.170815973986384
approval_voting,5.43,1.7477898587541916
simple_majority,2.775,0.8789757138502184
supermajority_2_3,2.775,0.8789757138502184
borda,2.045,0.46743217152728384
