decision_type,method,on_frontier_pct
binary_policy_ratification,consent_based,75.31
binary_policy_ratification,condorcet_schulze,24.69
binary_policy_ratification,<tie_rate>,0.0
budget_allocation,quadratic_voting,42.955
budget_allocation,<tie_rate>,35.815
budget_allocation,stv,21.23
budget_allocation,conviction_voting,21.08
budget_allocation,cumulative_voting,21.08
budget_allocation,simple_majority,14.735
budget_allocation,supermajority_2_3,14.735
budget_allocation,approval_voting,14.735
budget_allocation,consent_based,14.735
membership_threshold_admission,consent_based,60.695
membership_threshold_admission,conviction_voting,19.69
membership_threshold_admission,condorcet_schulze,19.615
membership_threshold_admission,<tie_rate>,0.0
multi_candidate_election,<tie_rate>,58.365
multi_candidate_election,irv,41.92
multi_candidate_election,stv,41.92
multi_candidate_election,condorcet_schulze,41.635
multi_candidate_election,simple_majority,16.45
multi_candidate_election,supermajority_2_3,16.45
multi_candidate_election,approval_voting,16.45
multi_candidate_election,consent_based,16.45
parameter_tuning,conviction_voting,50.235
parameter_tuning,quadratic_voting,49.765
parameter_tuning,<tie_rate>,0.0
